schooltype,Arab,Grouptype,Group Name,SelfTransendence,OpenessToChange,Conservation,SelfEnhancement,,,,,,
1.00,0.00,1,JewBiling,1.10,0.77,-1.90,0.43,,,,,,
1.00,0.00,1,JewBiling,1.70,0.53,-1.47,0.20,,,,,1,JewBiling
1.00,0.00,1,JewBiling,1.50,0.33,-0.67,0.00,,,,,2,JewMix
1.00,0.00,1,JewBiling,1.30,0.47,-0.53,-0.87,,,,,3,JewSeg
1.00,0.00,1,JewBiling,0.70,-0.63,-0.63,0.70,,,,,4,ArabBil
1.00,0.00,1,JewBiling,1.60,0.60,-0.73,-0.40,,,,,5,Arab=Mix
1.00,0.00,1,JewBiling,-0.20,0.97,-0.37,-0.03,,,,,6,ArabSeg
1.00,0.00,1,JewBiling,1.20,0.70,-0.30,-0.97,,,,,,
1.00,0.00,1,JewBiling,-0.30,1.53,-1.13,0.53,,,,,,
1.00,0.00,1,JewBiling,0.90,1.07,-1.27,0.40,,,,,,
1.00,0.00,1,JewBiling,1.10,-0.57,-0.57,0.10,,,,,,
1.00,0.00,1,JewBiling,0.80,0.63,-0.70,-0.37,,,,,,
1.00,0.00,1,JewBiling,-0.10,0.90,-1.10,0.57,,,,,,
1.00,0.00,1,JewBiling,1.90,0.23,-2.10,1.23,,,,,,
1.00,0.00,1,JewBiling,1.30,0.47,-0.87,-1.20,,,,,,
1.00,0.00,1,JewBiling,0.30,0.30,-1.03,0.63,,,,,,
1.00,0.00,1,JewBiling,1.10,0.27,-0.73,-0.07,,,,,,
1.00,0.00,1,JewBiling,1.90,-0.43,-1.10,0.23,,,,,,
1.00,0.00,1,JewBiling,2.50,0.00,-1.33,-0.33,,,,,,
1.00,0.00,1,JewBiling,0.90,-1.60,0.40,1.07,,,,,,
1.00,0.00,1,JewBiling,0.60,1.10,-0.57,-0.23,,,,,,
1.00,0.00,1,JewBiling,0.40,0.57,-1.10,0.57,,,,,,
1.00,0.00,1,JewBiling,1.10,0.60,-0.07,-0.40,,,,,,
1.00,0.00,1,JewBiling,0.20,0.70,0.37,-0.97,,,,,,
1.00,0.00,1,JewBiling,0.80,0.97,-1.37,0.63,,,,,,
1.00,0.00,1,JewBiling,0.90,0.73,-1.93,0.40,,,,,,
1.00,0.00,1,JewBiling,0.40,-0.10,-0.77,0.90,,,,,,
1.00,0.00,1,JewBiling,2.40,0.23,-0.77,-1.10,,,,,,
1.00,0.00,1,JewBiling,1.30,0.63,-0.37,-0.70,,,,,,
1.00,0.00,1,JewBiling,2.40,-0.10,-0.77,-0.77,,,,,,
1.00,0.00,1,JewBiling,1.30,0.13,-0.53,-0.20,,,,,,
1.00,0.00,1,JewBiling,0.60,0.77,-1.57,0.77,,,,,,
1.00,0.00,1,JewBiling,0.50,0.17,-0.50,0.50,,,,,,
1.00,0.00,1,JewBiling,3.20,-0.47,-0.47,-0.80,,,,,,
1.00,0.00,1,JewBiling,2.10,1.43,-1.57,-0.57,,,,,,
1.00,0.00,1,JewBiling,0.30,0.47,-0.87,0.47,,,,,,
1.00,0.00,1,JewBiling,0.80,0.47,-0.53,-0.53,,,,,,
1.00,0.00,1,JewBiling,1.60,-0.23,-0.23,-0.57,,,,,,
1.00,0.00,1,JewBiling,0.60,0.93,-0.40,-0.73,,,,,,
1.00,0.00,1,JewBiling,0.00,0.83,-0.17,-0.17,,,,,,
1.00,0.00,1,JewBiling,1.20,0.87,-1.80,0.20,,,,,,
1.00,0.00,1,JewBiling,2.10,-0.07,-0.07,-1.07,,,,,,
1.00,0.00,1,JewBiling,-1.60,0.40,-0.27,1.40,,,,,,
1.00,0.00,1,JewBiling,0.40,-0.43,0.90,-0.77,,,,,,
1.00,0.00,1,JewBiling,0.50,0.00,0.00,-0.33,,,,,,
1.00,0.00,1,JewBiling,0.70,0.87,-1.47,0.53,,,,,,
1.00,0.00,1,JewBiling,0.70,1.37,-1.97,1.03,,,,,,
1.00,0.00,1,JewBiling,0.80,0.97,-1.37,0.30,,,,,,
1.00,0.00,1,JewBiling,1.20,-0.80,0.20,-0.47,,,,,,
1.00,0.00,1,JewBiling,1.40,-1.10,0.23,0.57,,,,,,
2.00,0.00,2,JewMix,1.10,0.77,-1.23,0.10,,,,,,
2.00,0.00,2,JewMix,0.80,-0.37,-0.70,0.63,,,,,,
2.00,0.00,2,JewMix,0.80,0.97,-1.37,0.30,,,,,,
2.00,0.00,2,JewMix,0.50,0.67,1.00,-1.67,,,,,,
2.00,0.00,2,JewMix,0.10,0.60,-0.07,-0.07,,,,,,
2.00,0.00,2,JewMix,-0.50,0.50,0.50,-0.17,,,,,,
2.00,0.00,2,JewMix,1.30,0.30,-0.70,-0.37,,,,,,
2.00,0.00,2,JewMix,-0.10,1.40,-1.27,0.40,,,,,,
2.00,0.00,2,JewMix,1.00,0.67,-0.33,-0.67,,,,,,
2.00,0.00,2,JewMix,0.80,-0.20,-0.20,0.13,,,,,,
2.00,0.00,2,JewMix,1.20,-0.13,-0.47,-0.13,,,,,,
2.00,0.00,2,JewMix,0.50,1.50,-1.17,-0.17,,,,,,
2.00,0.00,2,JewMix,1.20,-0.13,-0.80,0.53,,,,,,
2.00,0.00,2,JewMix,0.10,0.77,-0.90,0.77,,,,,,
2.00,0.00,2,JewMix,1.00,0.00,-0.67,0.67,,,,,,
2.00,0.00,2,JewMix,0.40,0.40,-0.93,0.40,,,,,,
2.00,0.00,2,JewMix,1.10,0.27,-0.40,-0.40,,,,,,
2.00,0.00,2,JewMix,1.10,0.10,-0.23,-0.57,,,,,,
2.00,0.00,2,JewMix,0.10,1.10,-2.23,1.77,,,,,,
2.00,0.00,2,JewMix,-0.80,0.20,0.20,0.53,,,,,,
2.00,0.00,2,JewMix,0.50,0.67,-0.33,-0.33,,,,,,
2.00,0.00,2,JewMix,0.50,0.50,-1.17,0.50,,,,,,
2.00,0.00,2,JewMix,1.20,1.20,-1.47,-0.13,,,,,,
2.00,0.00,2,JewMix,0.60,-0.23,-0.57,0.10,,,,,,
2.00,0.00,2,JewMix,0.80,0.13,0.13,-0.53,,,,,,
2.00,0.00,2,JewMix,0.60,-0.23,0.10,0.10,,,,,,
2.00,0.00,2,JewMix,-0.30,0.20,-0.13,0.53,,,,,,
2.00,0.00,2,JewMix,0.70,0.37,0.03,0.03,,,,,,
2.00,0.00,2,JewMix,0.70,0.20,-0.47,-0.13,,,,,,
2.00,0.00,2,JewMix,0.80,-0.70,0.63,-0.03,,,,,,
2.00,0.00,2,JewMix,0.00,1.17,0.50,-1.17,,,,,,
2.00,0.00,2,JewMix,-2.00,0.50,0.50,0.50,,,,,,
2.00,0.00,2,JewMix,1.10,-0.23,0.43,-0.90,,,,,,
2.00,0.00,2,JewMix,0.50,0.00,0.00,0.00,,,,,,
2.00,0.00,2,JewMix,0.30,-0.37,0.30,0.30,,,,,,
2.00,0.00,2,JewMix,0.80,0.13,-0.87,0.47,,,,,,
2.00,0.00,2,JewMix,-0.10,-0.10,0.23,-0.77,,,,,,
2.00,0.00,2,JewMix,0.70,1.03,-0.97,0.03,,,,,,
2.00,0.00,2,JewMix,0.90,0.90,-0.77,-0.43,,,,,,
2.00,0.00,2,JewMix,-0.40,0.10,0.10,0.10,,,,,,
2.00,0.00,2,JewMix,0.60,0.27,-0.07,-0.40,,,,,,
2.00,0.00,2,JewMix,1.40,-1.27,1.07,-0.60,,,,,,
2.00,0.00,2,JewMix,1.10,1.27,-2.07,0.60,,,,,,
2.00,0.00,2,JewMix,0.70,1.37,-0.30,-1.30,,,,,,
2.00,0.00,2,JewMix,1.70,-0.30,-1.30,1.03,,,,,,
2.00,0.00,2,JewMix,1.30,-0.03,-1.70,1.30,,,,,,
2.00,0.00,2,JewMix,0.80,0.47,-1.20,0.47,,,,,,
2.00,0.00,2,JewMix,1.20,1.20,-2.13,0.53,,,,,,
2.00,0.00,2,JewMix,0.90,0.40,-0.60,-0.27,,,,,,
2.00,0.00,2,JewMix,1.70,-0.13,-0.47,0.20,,,,,,
2.00,0.00,2,JewMix,0.90,-0.43,-0.43,0.90,,,,,,
2.00,0.00,2,JewMix,0.00,1.17,-0.17,-0.17,,,,,,
2.00,0.00,2,JewMix,0.80,0.80,-0.20,-0.87,,,,,,
2.00,0.00,2,JewMix,0.90,0.23,-0.10,-0.10,,,,,,
2.00,0.00,2,JewMix,0.70,0.03,-0.63,0.03,,,,,,
2.00,0.00,2,JewMix,0.10,0.43,-0.23,0.10,,,,,,
2.00,0.00,2,JewMix,0.00,0.00,0.00,0.00,,,,,,
2.00,0.00,2,JewMix,1.00,1.00,-0.33,-0.67,,,,,,
2.00,0.00,2,JewMix,0.70,0.70,-0.63,0.03,,,,,,
2.00,0.00,2,JewMix,0.20,0.37,-0.63,0.37,,,,,,
2.00,0.00,2,JewMix,-0.30,1.87,-1.47,0.53,,,,,,
2.00,0.00,2,JewMix,-0.50,1.50,-1.17,0.50,,,,,,
2.00,0.00,2,JewMix,0.40,0.90,-1.10,0.57,,,,,,
2.00,0.00,2,JewMix,2.20,0.53,-0.47,-0.80,,,,,,
2.00,0.00,2,JewMix,-0.20,0.80,-0.53,0.13,,,,,,
2.00,0.00,2,JewMix,0.70,0.70,-1.30,0.37,,,,,,
2.00,0.00,2,JewMix,1.60,-0.40,0.27,-0.40,,,,,,
2.00,0.00,2,JewMix,1.40,-0.43,-0.10,-0.43,,,,,,
2.00,0.00,2,JewMix,0.60,0.77,-1.23,0.77,,,,,,
2.00,0.00,2,JewMix,0.20,0.87,-0.80,-0.13,,,,,,
2.00,0.00,2,JewMix,0.30,0.63,-0.03,-0.37,,,,,,
2.00,0.00,2,JewMix,1.80,-0.20,-0.53,-0.53,,,,,,
2.00,0.00,2,JewMix,0.70,0.70,-0.97,0.37,,,,,,
2.00,0.00,2,JewMix,-0.30,0.20,-0.47,0.53,,,,,,
2.00,0.00,2,JewMix,-1.60,1.40,0.73,-1.27,,,,,,
2.00,0.00,2,JewMix,0.70,1.03,-1.30,0.37,,,,,,
2.00,0.00,2,JewMix,0.20,0.37,-0.63,0.03,,,,,,
2.00,0.00,2,JewMix,0.90,0.23,-0.43,-0.10,,,,,,
2.00,0.00,2,JewMix,0.90,-0.10,-0.77,0.23,,,,,,
2.00,0.00,2,JewMix,0.90,-1.27,0.40,-0.60,,,,,,
2.00,0.00,2,JewMix,-0.90,0.43,-0.23,-0.23,,,,,,
2.00,0.00,2,JewMix,-0.30,-0.47,0.53,0.20,,,,,,
2.00,0.00,2,JewMix,1.00,-1.00,0.67,-0.67,,,,,,
2.00,0.00,2,JewMix,1.10,-0.07,-0.07,-0.40,,,,,,
2.00,0.00,2,JewMix,-0.20,0.80,-1.20,0.80,,,,,,
2.00,0.00,2,JewMix,0.30,-0.53,0.13,0.13,,,,,,
2.00,0.00,2,JewMix,0.40,-0.27,0.07,0.40,,,,,,
2.00,0.00,2,JewMix,0.50,-0.67,0.00,0.67,,,,,,
2.00,0.00,2,JewMix,1.80,1.13,-0.87,-0.87,,,,,,
2.00,0.00,2,JewMix,1.90,0.57,-1.77,0.57,,,,,,
2.00,0.00,2,JewMix,0.20,-0.47,0.87,-0.13,,,,,,
2.00,0.00,2,JewMix,1.60,-0.07,-0.73,0.27,,,,,,
2.00,0.00,2,JewMix,0.70,0.53,-1.47,0.87,,,,,,
2.00,0.00,2,JewMix,-0.90,0.10,0.10,0.43,,,,,,
2.00,0.00,2,JewMix,0.70,1.37,-1.97,0.70,,,,,,
2.00,0.00,2,JewMix,-0.10,0.23,0.23,-0.10,,,,,,
2.00,0.00,2,JewMix,-1.90,-0.73,1.93,-0.07,,,,,,
2.00,0.00,2,JewMix,2.00,0.33,-1.33,0.00,,,,,,
2.00,0.00,2,JewMix,-0.60,0.23,-0.43,0.90,,,,,,
3.00,0.00,3,JewSeg,0.80,-1.20,-0.53,1.13,,,,,,
3.00,0.00,3,JewSeg,0.80,1.13,-1.53,0.47,,,,,,
3.00,0.00,3,JewSeg,1.00,-0.50,0.83,-0.50,,,,,,
3.00,0.00,3,JewSeg,0.80,0.13,-1.20,1.13,,,,,,
3.00,0.00,3,JewSeg,2.20,0.03,-0.63,-0.30,,,,,,
3.00,0.00,3,JewSeg,1.30,0.47,-1.20,-0.20,,,,,,
3.00,0.00,3,JewSeg,2.70,-0.63,-0.63,-0.97,,,,,,
3.00,0.00,3,JewSeg,0.00,1.33,-0.33,-0.67,,,,,,
3.00,0.00,3,JewSeg,1.00,1.17,-1.83,0.17,,,,,,
3.00,0.00,3,JewSeg,-0.60,-0.43,1.57,-0.43,,,,,,
3.00,0.00,3,JewSeg,1.10,0.93,-1.73,0.60,,,,,,
3.00,0.00,3,JewSeg,1.00,0.00,0.33,-0.67,,,,,,
3.00,0.00,3,JewSeg,2.60,-0.57,-0.23,-1.23,,,,,,
3.00,0.00,3,JewSeg,1.70,1.87,-1.80,-0.47,,,,,,
3.00,0.00,3,JewSeg,1.30,1.30,-0.37,-1.37,,,,,,
3.00,0.00,3,JewSeg,2.90,-1.10,0.57,-1.10,,,,,,
3.00,0.00,3,JewSeg,-0.20,-0.37,1.63,-1.37,,,,,,
3.00,0.00,3,JewSeg,0.50,-1.17,0.50,0.50,,,,,,
3.00,0.00,3,JewSeg,0.50,1.00,-0.33,-0.67,,,,,,
3.00,0.00,3,JewSeg,1.00,0.00,-1.00,0.33,,,,,,
3.00,0.00,3,JewSeg,2.00,2.00,-1.33,-1.33,,,,,,
3.00,0.00,3,JewSeg,0.00,-0.50,0.50,-0.17,,,,,,
3.00,0.00,3,JewSeg,1.30,0.63,-0.70,-1.03,,,,,,
3.00,0.00,3,JewSeg,2.20,0.37,-0.30,-1.63,,,,,,
3.00,0.00,3,JewSeg,2.50,0.83,-0.83,-0.83,,,,,,
3.00,0.00,3,JewSeg,0.50,-0.33,-0.67,1.00,,,,,,
3.00,0.00,3,JewSeg,1.60,0.27,-0.40,-0.40,,,,,,
3.00,0.00,3,JewSeg,0.70,0.20,0.20,-0.13,,,,,,
3.00,0.00,3,JewSeg,1.20,-0.30,-0.30,0.03,,,,,,
3.00,0.00,3,JewSeg,0.70,0.70,-0.63,-0.30,,,,,,
3.00,0.00,3,JewSeg,0.30,0.47,0.47,-0.87,,,,,,
3.00,0.00,3,JewSeg,1.30,-0.03,-1.03,0.63,,,,,,
3.00,0.00,3,JewSeg,2.20,0.53,-0.47,-0.80,,,,,,
3.00,0.00,3,JewSeg,-0.90,0.27,0.27,0.27,,,,,,
3.00,0.00,3,JewSeg,1.20,-0.13,-0.80,0.87,,,,,,
3.00,0.00,3,JewSeg,1.00,1.00,-1.33,0.00,,,,,,
3.00,0.00,3,JewSeg,1.00,-0.17,-0.17,0.17,,,,,,
3.00,0.00,3,JewSeg,0.80,1.80,-1.87,0.13,,,,,,
3.00,0.00,3,JewSeg,0.70,0.03,-0.30,0.37,,,,,,
3.00,0.00,3,JewSeg,1.30,0.30,-0.70,-0.03,,,,,,
3.00,0.00,3,JewSeg,0.40,-0.27,-0.27,0.40,,,,,,
3.00,0.00,3,JewSeg,-0.50,1.00,-0.33,0.00,,,,,,
3.00,0.00,3,JewSeg,1.60,-0.73,0.27,-0.73,,,,,,
3.00,0.00,3,JewSeg,1.10,0.43,-0.23,-0.57,,,,,,
3.00,0.00,3,JewSeg,0.60,-0.40,0.27,-0.40,,,,,,
3.00,0.00,3,JewSeg,1.60,0.27,-0.73,-0.07,,,,,,
3.00,0.00,3,JewSeg,1.80,0.13,-0.20,-1.20,,,,,,
3.00,0.00,3,JewSeg,-0.50,0.67,0.33,-0.33,,,,,,
3.00,0.00,3,JewSeg,1.70,-1.63,1.03,0.03,,,,,,
3.00,0.00,3,JewSeg,1.10,-0.73,-0.40,0.27,,,,,,
3.00,0.00,3,JewSeg,0.60,0.43,-1.23,1.10,,,,,,
3.00,0.00,3,JewSeg,1.60,0.93,-0.40,-1.07,,,,,,
3.00,0.00,3,JewSeg,0.60,-0.07,-1.07,1.27,,,,,,
3.00,0.00,3,JewSeg,-0.20,0.63,-0.37,-0.03,,,,,,
3.00,0.00,3,JewSeg,0.00,0.83,-1.50,1.17,,,,,,
3.00,0.00,3,JewSeg,-0.20,0.30,-0.03,0.30,,,,,,
3.00,0.00,3,JewSeg,0.00,0.00,0.33,-0.33,,,,,,
3.00,0.00,3,JewSeg,-0.80,-0.63,0.03,0.70,,,,,,
3.00,0.00,3,JewSeg,1.50,1.50,-0.83,-1.17,,,,,,
3.00,0.00,3,JewSeg,0.60,0.93,-0.73,-0.07,,,,,,
3.00,0.00,3,JewSeg,0.40,-0.27,-0.60,1.07,,,,,,
3.00,0.00,3,JewSeg,1.00,0.17,-0.17,-0.50,,,,,,
3.00,0.00,3,JewSeg,1.60,-0.40,0.93,-1.73,,,,,,
3.00,0.00,3,JewSeg,1.40,0.40,-2.27,1.40,,,,,,
3.00,0.00,3,JewSeg,1.30,-0.37,0.30,-0.37,,,,,,
3.00,0.00,3,JewSeg,0.30,0.30,-0.03,-0.37,,,,,,
3.00,0.00,3,JewSeg,1.30,-0.03,-0.03,-0.37,,,,,,
3.00,0.00,3,JewSeg,1.40,-0.27,-0.60,-0.27,,,,,,
3.00,0.00,3,JewSeg,1.00,1.17,-1.17,-0.17,,,,,,
3.00,0.00,3,JewSeg,2.10,0.77,-0.90,-0.90,,,,,,
3.00,0.00,3,JewSeg,0.70,0.53,-1.13,0.53,,,,,,
3.00,0.00,3,JewSeg,0.10,-0.73,0.93,-0.40,,,,,,
3.00,0.00,3,JewSeg,0.60,0.27,-0.07,-0.40,,,,,,
3.00,0.00,3,JewSeg,1.20,0.87,-1.13,-0.13,,,,,,
3.00,0.00,3,JewSeg,0.40,-0.10,0.23,-0.10,,,,,,
3.00,0.00,3,JewSeg,1.50,0.50,-1.50,0.50,,,,,,
3.00,0.00,3,JewSeg,1.90,0.57,-1.43,0.23,,,,,,
3.00,0.00,3,JewSeg,0.10,0.43,0.10,-0.23,,,,,,
3.00,0.00,3,JewSeg,-0.10,0.40,-0.60,0.40,,,,,,
3.00,0.00,3,JewSeg,0.80,0.47,-1.20,0.13,,,,,,
3.00,0.00,3,JewSeg,1.00,0.50,-0.50,-0.17,,,,,,
3.00,0.00,3,JewSeg,1.00,1.00,-1.00,-0.33,,,,,,
3.00,0.00,3,JewSeg,1.10,1.10,-1.90,0.43,,,,,,
3.00,0.00,3,JewSeg,-1.00,0.00,0.67,0.00,,,,,,
3.00,0.00,3,JewSeg,0.80,0.47,-0.20,-0.87,,,,,,
3.00,0.00,3,JewSeg,0.60,0.60,0.60,-1.07,,,,,,
3.00,0.00,3,JewSeg,1.00,0.00,-0.67,0.33,,,,,,
3.00,0.00,3,JewSeg,-0.30,-0.30,0.03,0.37,,,,,,
3.00,0.00,3,JewSeg,-0.80,0.70,0.03,0.03,,,,,,
3.00,0.00,3,JewSeg,-0.60,1.23,-1.43,1.23,,,,,,
3.00,0.00,3,JewSeg,-0.30,0.70,-0.30,0.03,,,,,,
3.00,0.00,3,JewSeg,0.80,0.80,-0.87,-0.20,,,,,,
3.00,0.00,3,JewSeg,0.10,0.60,-0.73,0.27,,,,,,
3.00,0.00,3,JewSeg,1.40,-0.27,-0.27,-0.27,,,,,,
3.00,0.00,3,JewSeg,0.90,1.40,-1.27,-0.27,,,,,,
3.00,0.00,3,JewSeg,-1.20,-0.20,1.13,0.47,,,,,,
3.00,0.00,3,JewSeg,1.00,1.17,0.17,-1.50,,,,,,
3.00,0.00,3,JewSeg,0.60,-0.57,0.10,0.43,,,,,,
3.00,0.00,3,JewSeg,2.00,0.17,-0.83,-0.17,,,,,,
3.00,0.00,3,JewSeg,0.00,0.83,-0.83,0.50,,,,,,
3.00,0.00,3,JewSeg,-0.60,0.90,-0.10,-0.10,,,,,,
3.00,0.00,3,JewSeg,0.70,0.37,-0.97,-0.30,,,,,,
3.00,0.00,3,JewSeg,0.50,-0.33,-0.33,0.00,,,,,,
3.00,0.00,3,JewSeg,0.60,-0.07,-0.40,-0.07,,,,,,
3.00,0.00,3,JewSeg,0.80,-0.37,-0.03,0.63,,,,,,
1.00,1.00,4,ArabBil,0.10,0.60,0.60,-1.07,,,,,,
1.00,1.00,4,ArabBil,-0.20,0.13,0.13,-0.20,,,,,,
1.00,1.00,4,ArabBil,-0.10,1.07,0.40,-1.27,,,,,,
1.00,1.00,4,ArabBil,-0.20,0.13,1.47,-1.20,,,,,,
1.00,1.00,4,ArabBil,1.00,0.17,-0.83,0.83,,,,,,
1.00,1.00,4,ArabBil,0.00,-0.33,1.00,-0.33,,,,,,
1.00,1.00,4,ArabBil,2.00,-0.33,-1.00,0.33,,,,,,
1.00,1.00,4,ArabBil,1.30,1.30,-0.37,-1.37,,,,,,
1.00,1.00,4,ArabBil,-1.10,0.90,0.57,-0.77,,,,,,
1.00,1.00,4,ArabBil,-0.20,1.47,-1.53,0.80,,,,,,
1.00,1.00,4,ArabBil,1.30,1.30,-0.37,-1.37,,,,,,
1.00,1.00,4,ArabBil,1.00,-0.67,1.00,-0.67,,,,,,
1.00,1.00,4,ArabBil,-0.20,-0.37,-0.03,0.63,,,,,,
1.00,1.00,4,ArabBil,0.20,-0.30,1.03,-1.63,,,,,,
1.00,1.00,4,ArabBil,-1.40,-0.07,0.93,0.27,,,,,,
1.00,1.00,4,ArabBil,0.00,0.00,0.00,0.00,,,,,,
1.00,1.00,4,ArabBil,0.00,2.33,-1.33,0.00,,,,,,
1.00,1.00,4,ArabBil,-0.50,0.33,2.00,-3.00,,,,,,
1.00,1.00,4,ArabBil,0.60,0.27,0.60,-1.07,,,,,,
1.00,1.00,4,ArabBil,0.60,0.27,0.60,-1.07,,,,,,
1.00,1.00,4,ArabBil,0.30,0.47,-0.53,0.80,,,,,,
1.00,1.00,4,ArabBil,0.20,0.53,-0.13,-0.13,,,,,,
1.00,1.00,4,ArabBil,-0.50,0.50,0.83,-0.50,,,,,,
1.00,1.00,4,ArabBil,-2.00,1.00,0.33,0.33,,,,,,
1.00,1.00,4,ArabBil,-0.40,-0.07,0.60,-0.40,,,,,,
1.00,1.00,4,ArabBil,2.00,1.33,-1.33,-1.00,,,,,,
1.00,1.00,4,ArabBil,1.10,-0.07,-1.73,0.60,,,,,,
1.00,1.00,4,ArabBil,0.90,1.07,-0.60,-0.93,,,,,,
1.00,1.00,4,ArabBil,0.60,-0.23,-0.23,-0.57,,,,,,
1.00,1.00,4,ArabBil,0.30,0.63,0.30,-0.70,,,,,,
1.00,1.00,4,ArabBil,0.60,0.60,-0.40,-0.40,,,,,,
1.00,1.00,4,ArabBil,0.70,0.70,-1.30,0.37,,,,,,
